X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,gpx10_speed,ogt10_accuracy,gpx10_course
-48.4905529,-27.4758807,0,1,10,-37,2018/10/08 20:20:02+00,,,,,,,,,,,,,,,,,,,,,,18.6999988555908,27,13.6999998092651
-48.4899207,-27.4730354,0,1,11,-3,2018/10/08 20:20:19+00,,,,,,,,,,,,,,,,,,,,,,18.2799987792969,19,6.40000009536743
-48.4908908,-27.4694197,0,1,12,4,2018/10/08 20:20:40+00,,,,,,,,,,,,,,,,,,,,,,19.9799995422363,20,341.5
-48.4919313,-27.4665132,0,1,13,15,2018/10/08 20:20:57+00,,,,,,,,,,,,,,,,,,,,,,20.0900001525879,23,341.600006103516
-48.4930519,-27.463659,0,1,14,0,2018/10/08 20:21:14+00,,,,,,,,,,,,,,,,,,,,,,19.4300003051758,23,341.5
-48.4937777,-27.4559258,0,1,15,9,2018/10/08 20:22:02+00,,,,,,,,,,,,,,,,,,,,,,20.1999988555908,19,49.7999992370605
-48.4910035,-27.4541477,0,1,16,-1,2018/10/08 20:22:19+00,,,,,,,,,,,,,,,,,,,,,,19.5,29,52.2999992370605
-48.4881995,-27.4520577,0,1,17,13,2018/10/08 20:22:41+00,,,,,,,,,,,,,,,,,,,,,,11.289999961853,30,45.2999992370605
-48.4875076,-27.4492019,0,1,18,24,2018/10/08 20:23:19+00,,,,,,,,,,,,,,,,,,,,,,8.34999942779541,27,4.19999980926514
-48.4871347,-27.4475,0,1,19,12,2018/10/08 20:24:02+00,,,,,,,,,,,,,,,,,,,,,,5.90000009536743,28,31.2000007629395
-48.4853582,-27.4463692,0,1,20,47,2018/10/08 20:24:41+00,,,,,,,,,,,,,,,,,,,,,,7.96000003814697,27,40.0999984741211
-48.4842072,-27.4449542,0,1,21,24,2018/10/08 20:25:06+00,,,,,,,,,,,,,,,,,,,,,,3.76999998092651,27,20.7999992370605
-48.4836259,-27.4436151,0,1,22,-22,2018/10/08 20:25:48+00,,,,,,,,,,,,,,,,,,,,,,6.48999977111816,26,3.90000009536743
-48.4834448,-27.4426324,0,1,23,-3,2018/10/08 20:26:03+00,,,,,,,,,,,,,,,,,,,,,,3.11999988555908,27,
-48.4835031,-27.4420992,0,1,24,14,2018/10/08 20:26:28+00,,,,,,,,,,,,,,,,,,,,,,3.98000001907349,24,33.2999992370605
-48.4835458,-27.4418628,0,1,25,0,2018/10/08 20:26:53+00,,,,,,,,,,,,,,,,,,,,,,1.3199999332428,24,
